age,sex,smoking,coverage,payment
28,F,Y,500000,34.03
28,F,Y,600000,37.86
28,F,Y,700000,43.17
28,F,Y,800000,48.48
28,F,Y,1000000,57.92
29,M,N,100000,15.00
29,M,N,150000,15.00
29,M,N,200000,17.05
29,M,N,250000,20.54
29,M,N,300000,22.58
29,M,N,350000,26.36
29,M,N,400000,29.27
29,M,N,500000,32.18
29,M,N,600000,37.41
29,M,N,700000,42.65
29,M,N,800000,47.88
29,M,N,1000000,55.44
29,M,Y,100000,16.08
29,M,Y,150000,23.24
29,M,Y,200000,28.12
29,M,Y,250000,34.46
29,M,Y,300000,36.90
29,M,Y,350000,42.81
29,M,Y,400000,48.07
29,M,Y,500000,57.50
29,M,Y,600000,61.94
29,M,Y,700000,71.27
29,M,Y,800000,80.59
29,M,Y,1000000,98.15
29,F,N,100000,15.00
29,F,N,150000,15.00
29,F,N,200000,15.00
29,F,N,250000,15.00
29,F,N,300000,16.05
29,F,N,350000,18.09
29,F,N,400000,20.10
29,F,N,500000,21.86
29,F,N,600000,25.04
29,F,N,700000,28.21
29,F,N,800000,31.38
29,F,N,1000000,36.67
29,F,Y,100000,15.00
29,F,Y,150000,15.00
29,F,Y,200000,18.12
29,F,Y,250000,21.45
29,F,Y,300000,23.81
29,F,Y,350000,27.20
29,F,Y,400000,30.96
29,F,Y,500000,34.78
29,F,Y,600000,38.72
29,F,Y,700000,44.17
29,F,Y,800000,49.62
29,F,Y,1000000,59.31
30,M,N,100000,15.00
30,M,N,150000,15.00
30,M,N,200000,16.93
30,M,N,250000,20.38
30,M,N,300000,22.39
30,M,N,350000,26.13
30,M,N,400000,29.00
30,M,N,500000,31.88
30,M,N,600000,37.05
30,M,N,700000,42.23
30,M,N,800000,47.40
30,M,N,1000000,54.88
30,M,Y,100000,16.21
30,M,Y,150000,23.45
30,M,Y,200000,28.39
30,M,Y,250000,34.81
30,M,Y,300000,37.28
30,M,Y,350000,43.26
30,M,Y,400000,48.58
30,M,Y,500000,58.13
30,M,Y,600000,62.63
30,M,Y,700000,72.07
30,M,Y,800000,81.51
30,M,Y,1000000,99.29
30,F,N,100000,15.00
30,F,N,150000,15.00
30,F,N,200000,15.00
30,F,N,250000,15.00
30,F,N,300000,16.24
30,F,N,350000,18.32
30,F,N,400000,20.37
30,F,N,500000,22.16
30,F,N,600000,25.40
30,F,N,700000,28.63
30,F,N,800000,31.86
30,F,N,1000000,37.25
30,F,Y,100000,15.00
30,F,Y,150000,15.30
30,F,Y,200000,18.65
30,F,Y,250000,22.13
30,F,Y,300000,24.60
30,F,Y,350000,28.14
30,F,Y,400000,32.06
30,F,Y,500000,36.04
30,F,Y,600000,40.16
30,F,Y,700000,45.85
30,F,Y,800000,51.54
30,F,Y,1000000,61.66
31,M,N,100000,15.00
31,M,N,150000,15.00
31,M,N,200000,16.83
31,M,N,250000,20.25
31,M,N,300000,22.25
31,M,N,350000,25.95
31,M,N,400000,28.80
31,M,N,500000,31.65
31,M,N,600000,36.78
31,M,N,700000,41.91
31,M,N,800000,47.04
31,M,N,1000000,54.45
31,M,Y,100000,16.43
31,M,Y,150000,23.83
31,M,Y,200000,28.88
31,M,Y,250000,35.44
31,M,Y,300000,37.97
31,M,Y,350000,44.08
31,M,Y,400000,49.52
31,M,Y,500000,59.28
31,M,Y,600000,63.88
31,M,Y,700000,73.52
31,M,Y,800000,83.17
31,M,Y,1000000,101.34
31,F,N,100000,15.00
31,F,N,150000,15.00
31,F,N,200000,15.00
31,F,N,250000,15.50
31,F,N,300000,16.83
31,F,N,350000,19.03
31,F,N,400000,21.20
31,F,N,500000,23.10
31,F,N,600000,26.52
31,F,N,700000,29.94
31,F,N,800000,33.36
31,F,N,1000000,39.06
31,F,Y,100000,15.00
31,F,Y,150000,15.49
31,F,Y,200000,18.92
31,F,Y,250000,22.47
31,F,Y,300000,24.99
31,F,Y,350000,28.60
31,F,Y,400000,32.61
31,F,Y,500000,36.68
31,F,Y,600000,40.88
31,F,Y,700000,46.69
31,F,Y,800000,52.50
31,F,Y,1000000,62.83
32,M,N,100000,15.00
32,M,N,150000,15.00
32,M,N,200000,16.85
32,M,N,250000,20.27
32,M,N,300000,22.27
32,M,N,350000,25.98
32,M,N,400000,28.83
32,M,N,500000,31.69
32,M,N,600000,36.83
32,M,N,700000,41.96
32,M,N,800000,47.10
32,M,N,1000000,54.52
32,M,Y,100000,16.59
32,M,Y,150000,24.10
32,M,Y,200000,29.22
32,M,Y,250000,35.88
32,M,Y,300000,38.44
32,M,Y,350000,44.65
32,M,Y,400000,50.17
32,M,Y,500000,60.07
32,M,Y,600000,64.74
32,M,Y,700000,74.53
32,M,Y,800000,84.32
32,M,Y,1000000,102.76
32,F,N,100000,15.00
32,F,N,150000,15.00
32,F,N,200000,15.00
32,F,N,250000,15.79
32,F,N,300000,17.16
32,F,N,350000,19.43
32,F,N,400000,21.67
32,F,N,500000,23.63
32,F,N,600000,27.15
32,F,N,700000,30.68
32,F,N,800000,34.20
32,F,N,1000000,40.08
32,F,Y,100000,15.00
32,F,Y,150000,15.42
32,F,Y,200000,18.82
32,F,Y,250000,22.34
32,F,Y,300000,24.84
32,F,Y,350000,28.43
32,F,Y,400000,32.40
32,F,Y,500000,36.44
32,F,Y,600000,40.61
32,F,Y,700000,46.37
32,F,Y,800000,52.14
32,F,Y,1000000,62.39
33,M,N,100000,15.00
33,M,N,150000,15.00
33,M,N,200000,16.75
33,M,N,250000,20.15
33,M,N,300000,22.13
33,M,N,350000,25.80
33,M,N,400000,28.63
33,M,N,500000,31.46
33,M,N,600000,36.56
33,M,N,700000,41.65
33,M,N,800000,46.74
33,M,N,1000000,54.10
33,M,Y,100000,16.81
33,M,Y,150000,24.48
33,M,Y,200000,29.72
33,M,Y,250000,36.52
33,M,Y,300000,39.13
33,M,Y,350000,45.47
33,M,Y,400000,51.11
33,M,Y,500000,61.22
33,M,Y,600000,65.99
33,M,Y,700000,75.98
33,M,Y,800000,85.98
33,M,Y,1000000,104.81
33,F,N,100000,15.00
33,F,N,150000,15.00
33,F,N,200000,15.00
33,F,N,250000,15.79
33,F,N,300000,17.16
33,F,N,350000,19.43
33,F,N,400000,21.67
33,F,N,500000,23.63
33,F,N,600000,27.15
33,F,N,700000,30.68
33,F,N,800000,34.20
33,F,N,1000000,40.08
33,F,Y,100000,15.00
33,F,Y,150000,16.14
33,F,Y,200000,19.80
33,F,Y,250000,23.60
33,F,Y,300000,26.29
33,F,Y,350000,30.15
33,F,Y,400000,34.43
33,F,Y,500000,38.78
33,F,Y,600000,43.26
33,F,Y,700000,49.47
33,F,Y,800000,55.68
33,F,Y,1000000,66.72
34,M,N,100000,15.00
34,M,N,150000,15.00
34,M,N,200000,16.62
34,M,N,250000,19.98
34,M,N,300000,21.94
34,M,N,350000,25.57
34,M,N,400000,28.37
34,M,N,500000,31.16
34,M,N,600000,36.20
34,M,N,700000,41.23
34,M,N,800000,46.26
34,M,N,1000000,53.53
34,M,Y,100000,16.87
34,M,Y,150000,24.58
34,M,Y,200000,29.83
34,M,Y,250000,36.67
34,M,Y,300000,39.30
34,M,Y,350000,45.66
34,M,Y,400000,51.33
34,M,Y,500000,61.50
34,M,Y,600000,66.29
34,M,Y,700000,76.33
34,M,Y,800000,86.38
34,M,Y,1000000,105.31
34,F,N,100000,15.00
34,F,N,150000,15.00
34,F,N,200000,15.00
34,F,N,250000,15.79
34,F,N,300000,17.16
34,F,N,350000,19.43
34,F,N,400000,21.67
34,F,N,500000,23.63
34,F,N,600000,27.15
34,F,N,700000,30.68
34,F,N,800000,34.20
34,F,N,1000000,40.08
34,F,Y,100000,15.00
34,F,Y,150000,16.74
34,F,Y,200000,20.62
34,F,Y,250000,24.64
34,F,Y,300000,27.49
34,F,Y,350000,31.58
34,F,Y,400000,36.11
34,F,Y,500000,40.71
34,F,Y,600000,45.47
34,F,Y,700000,52.04
34,F,Y,800000,58.62
34,F,Y,1000000,70.31
35,M,N,100000,15.00
35,M,N,150000,15.00
35,M,N,200000,16.58
35,M,N,250000,19.92
35,M,N,300000,21.87
35,M,N,350000,25.48
35,M,N,400000,28.27
35,M,N,500000,31.05
35,M,N,600000,36.06
35,M,N,700000,41.07
35,M,N,800000,46.08
35,M,N,1000000,53.32
35,M,Y,100000,17.19
35,M,Y,150000,25.13
35,M,Y,200000,30.55
35,M,Y,250000,37.59
35,M,Y,300000,40.30
35,M,Y,350000,46.85
35,M,Y,400000,52.69
35,M,Y,500000,63.16
35,M,Y,600000,68.09
35,M,Y,700000,78.44
35,M,Y,800000,88.79
35,M,Y,1000000,108.28
35,F,N,100000,15.00
35,F,N,150000,15.00
35,F,N,200000,15.00
35,F,N,250000,16.10
35,F,N,300000,17.52
35,F,N,350000,19.86
35,F,N,400000,22.17
35,F,N,500000,24.19
35,F,N,600000,27.83
35,F,N,700000,31.46
35,F,N,800000,35.10
35,F,N,1000000,41.16
35,F,Y,100000,15.00
35,F,Y,150000,17.61
35,F,Y,200000,21.80
35,F,Y,250000,26.15
35,F,Y,300000,29.23
35,F,Y,350000,33.65
35,F,Y,400000,38.55
35,F,Y,500000,43.53
35,F,Y,600000,48.66
35,F,Y,700000,55.77
35,F,Y,800000,62.88
35,F,Y,1000000,75.52
36,M,N,100000,15.00
36,M,N,150000,15.00
36,M,N,200000,16.99
36,M,N,250000,20.46
36,M,N,300000,22.48
36,M,N,350000,26.24
36,M,N,400000,29.13
36,M,N,500000,32.03
36,M,N,600000,37.23
36,M,N,700000,42.44
36,M,N,800000,47.64
36,M,N,1000000,55.16
36,M,Y,100000,17.66
36,M,Y,150000,25.94
36,M,Y,200000,31.59
36,M,Y,250000,38.92
36,M,Y,300000,41.74
36,M,Y,350000,48.58
36,M,Y,400000,54.66
36,M,Y,500000,65.57
36,M,Y,600000,70.72
36,M,Y,700000,81.50
36,M,Y,800000,92.29
36,M,Y,1000000,112.60
36,F,N,100000,15.00
36,F,N,150000,15.00
36,F,N,200000,15.00
36,F,N,250000,16.94
36,F,N,300000,18.47
36,F,N,350000,21.01
36,F,N,400000,23.50
36,F,N,500000,25.69
36,F,N,600000,29.63
36,F,N,700000,33.56
36,F,N,800000,37.50
36,F,N,1000000,44.06
36,F,Y,100000,15.00
36,F,Y,150000,18.52
36,F,Y,200000,23.03
36,F,Y,250000,27.72
36,F,Y,300000,31.04
36,F,Y,350000,35.81
36,F,Y,400000,41.09
36,F,Y,500000,46.45
36,F,Y,600000,51.99
36,F,Y,700000,59.66
36,F,Y,800000,67.32
