zip,smoking_RR,diabetes_RR
1470,0.815217391,0.76744186
1471,0.815217391,0.76744186
1472,0.815217391,0.76744186
1473,0.994565217,1.197674419
1474,0.815217391,0.76744186
1475,0.994565217,1.197674419
1477,0.994565217,1.197674419
1501,0.994565217,1.197674419
1503,0.994565217,1.197674419
1504,0.994565217,1.197674419
1505,0.994565217,1.197674419
1506,0.994565217,1.197674419
1507,0.994565217,1.197674419
1508,0.994565217,1.197674419
1509,0.994565217,1.197674419
1510,0.994565217,1.197674419
1515,0.994565217,1.197674419
1516,0.994565217,1.197674419
1517,0.994565217,1.197674419
1518,0.994565217,1.197674419
1519,0.994565217,1.197674419
1520,0.994565217,1.197674419
1521,1.02173913,1.139534884
1522,0.994565217,1.197674419
1523,0.994565217,1.197674419
1524,0.994565217,1.197674419
1525,0.994565217,1.197674419
1526,0.994565217,1.197674419
1527,0.994565217,1.197674419
1529,0.994565217,1.197674419
1531,0.994565217,1.197674419
1532,0.994565217,1.197674419
1534,0.994565217,1.197674419
1535,0.994565217,1.197674419
1536,0.994565217,1.197674419
1537,0.994565217,1.197674419
1538,0.994565217,1.197674419
1540,0.994565217,1.197674419
1541,0.994565217,1.197674419
1542,0.994565217,1.197674419
1543,0.994565217,1.197674419
1545,0.994565217,1.197674419
1546,0.994565217,1.197674419
1550,0.994565217,1.197674419
1560,0.994565217,1.197674419
1561,0.994565217,1.197674419
1562,0.994565217,1.197674419
1564,0.994565217,1.197674419
1566,0.994565217,1.197674419
1568,0.994565217,1.197674419
1569,0.994565217,1.197674419
1570,0.994565217,1.197674419
1571,0.994565217,1.197674419
1580,0.994565217,1.197674419
1581,0.994565217,1.197674419
1582,0.994565217,1.197674419
1583,0.994565217,1.197674419
1585,0.994565217,1.197674419
1586,0.994565217,1.197674419
1588,0.994565217,1.197674419
1590,0.994565217,1.197674419
1601,0.994565217,1.197674419
1602,0.994565217,1.197674419
1603,0.994565217,1.197674419
1604,0.994565217,1.197674419
1605,0.994565217,1.197674419
1606,0.994565217,1.197674419
1607,0.994565217,1.197674419
1608,0.994565217,1.197674419
1609,0.994565217,1.197674419
1610,0.994565217,1.197674419
1611,0.994565217,1.197674419
1612,0.994565217,1.197674419
1613,0.994565217,1.197674419
1614,0.994565217,1.197674419
1615,0.994565217,1.197674419
1653,0.994565217,1.197674419
1654,0.994565217,1.197674419
1655,0.994565217,1.197674419
1701,0.815217391,0.76744186
1702,0.815217391,0.76744186
1703,0.815217391,0.76744186
1704,0.815217391,0.76744186
1705,0.815217391,0.76744186
1718,0.815217391,0.76744186
1719,0.815217391,0.76744186
1720,0.815217391,0.76744186
1721,0.815217391,0.76744186
1730,0.815217391,0.76744186
1731,0.815217391,0.76744186
1740,0.994565217,1.197674419
1741,0.815217391,0.76744186
1742,0.815217391,0.76744186
1745,0.994565217,1.197674419
1746,0.815217391,0.76744186
